15:12:44.8331 [INFO] uart5: [output] CANTRIP> [sreplay_app mltest best_fit
15:12:44.8332 [INFO] uart5: [virt: 2.21s (+12.2ms)] CANTRIP> [sreplay_app mltest best_fit
15:12:45.1949 [INFO] uart5: [virt:  2.27s (+1.5ms)] {'bytes in-use': 162048, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2561536, 'bytes requested': 162048, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 43}
15:12:45.2062 [INFO] uart5: [output] {'bytes in-use': 166144, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2557440, 'bytes requested': 166144, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 44}
15:12:45.2063 [INFO] uart5: [virt:  2.27s (+1.6ms)] {'bytes in-use': 166144, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2557440, 'bytes requested': 166144, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 44}
15:12:45.2188 [INFO] uart5: [output] {'bytes in-use': 170240, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2553344, 'bytes requested': 170240, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 45}
15:12:45.2189 [INFO] uart5: [virt:  2.27s (+1.6ms)] {'bytes in-use': 170240, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2553344, 'bytes requested': 170240, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 45}
15:12:45.2308 [INFO] uart5: [output] {'bytes in-use': 174336, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2549248, 'bytes requested': 174336, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 46}
15:12:45.2309 [INFO] uart5: [virt:  2.28s (+1.5ms)] {'bytes in-use': 174336, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2549248, 'bytes requested': 174336, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 46}
15:12:45.2428 [INFO] uart5: [output] {'bytes in-use': 178432, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2545152, 'bytes requested': 178432, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 47}
15:12:45.2429 [INFO] uart5: [virt:  2.28s (+1.6ms)] {'bytes in-use': 178432, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2545152, 'bytes requested': 178432, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 47}
15:12:45.2570 [INFO] uart5: [output] {'bytes in-use': 182528, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2541056, 'bytes requested': 182528, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 48}
15:12:45.2571 [INFO] uart5: [virt:  2.28s (+1.6ms)] {'bytes in-use': 182528, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2541056, 'bytes requested': 182528, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 48}
15:12:45.2679 [INFO] uart5: [output] {'bytes in-use': 186624, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2536960, 'bytes requested': 186624, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 49}
15:12:45.2680 [INFO] uart5: [virt:  2.28s (+1.5ms)] {'bytes in-use': 186624, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2536960, 'bytes requested': 186624, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 49}
15:12:45.2894 [INFO] uart5: [output] {'bytes in-use': 190720, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2532864, 'bytes requested': 190720, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 50}
15:12:45.2895 [INFO] uart5: [virt: 2.29s (+11.6ms)] {'bytes in-use': 190720, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2532864, 'bytes requested': 190720, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 50}
15:12:45.3078 [INFO] uart5: [output] {'bytes in-use': 194816, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2528768, 'bytes requested': 194816, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 51}
15:12:45.3078 [INFO] uart5: [virt:  2.29s (+1.6ms)] {'bytes in-use': 194816, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2528768, 'bytes requested': 194816, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 51}
15:12:45.3254 [INFO] uart5: [output] {'bytes in-use': 198912, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2524672, 'bytes requested': 198912, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 52}
15:12:45.3255 [INFO] uart5: [virt:   2.3s (+1.5ms)] {'bytes in-use': 198912, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2524672, 'bytes requested': 198912, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 52}
15:12:45.3443 [INFO] uart5: [output] {'bytes in-use': 203008, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2520576, 'bytes requested': 203008, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 53}
15:12:45.3443 [INFO] uart5: [virt:   2.3s (+1.6ms)] {'bytes in-use': 203008, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2520576, 'bytes requested': 203008, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 53}
15:12:45.3558 [INFO] uart5: [output] {'bytes in-use': 207104, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2516480, 'bytes requested': 207104, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 54}
