15:14:26.0999 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 next_fit
15:14:26.1001 [INFO] uart5: [virt: 7.58s (+15.4ms)] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 next_fit
15:14:26.3710 [INFO] uart5: [virt:  7.62s (+1.6ms)] {'bytes in-use': 33792, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2689792, 'bytes requested': 80192, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 11}
15:14:26.3822 [INFO] uart5: [output] {'bytes in-use': 37888, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685696, 'bytes requested': 84288, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 12}
15:14:26.3822 [INFO] uart5: [virt:  7.62s (+1.5ms)] {'bytes in-use': 37888, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685696, 'bytes requested': 84288, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 12}
15:14:26.3928 [INFO] uart5: [output] {'bytes in-use': 54272, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2669312, 'bytes requested': 100672, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 16}
15:14:26.3930 [INFO] uart5: [virt:  7.62s (+1.6ms)] {'bytes in-use': 54272, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2669312, 'bytes requested': 100672, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 16}
15:14:26.4102 [INFO] uart5: [output] {'bytes in-use': 95232, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2628352, 'bytes requested': 141632, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 26}
15:14:26.4103 [INFO] uart5: [virt:  7.62s (+1.6ms)] {'bytes in-use': 95232, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2628352, 'bytes requested': 141632, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 26}
15:14:26.4224 [INFO] uart5: [output] {'bytes in-use': 99328, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2624256, 'bytes requested': 145728, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 27}
15:14:26.4225 [INFO] uart5: [virt:  7.62s (+1.6ms)] {'bytes in-use': 99328, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2624256, 'bytes requested': 145728, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 27}
15:14:26.4334 [INFO] uart5: [output] {'bytes in-use': 103424, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2620160, 'bytes requested': 149824, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 28}
15:14:26.4360 [INFO] uart5: [virt:  7.63s (+1.5ms)] {'bytes in-use': 103424, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2620160, 'bytes requested': 149824, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 28}
15:14:26.4487 [INFO] uart5: [output] {'bytes in-use': 104448, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2619136, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 29}
15:14:26.4488 [INFO] uart5: [virt:  7.63s (+1.5ms)] {'bytes in-use': 104448, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2619136, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 29}
15:14:26.4657 [INFO] uart5: [output] {'bytes in-use': 0, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
15:14:26.4658 [INFO] uart5: [virt:  7.63s (+2.5ms)] {'bytes in-use': 0, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
15:14:26.4858 [INFO] uart5: [output] {'bytes in-use': 4096, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719488, 'bytes requested': 154944, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
15:14:26.4860 [INFO] uart5: [virt: 7.64s (+12.4ms)] {'bytes in-use': 4096, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719488, 'bytes requested': 154944, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
15:14:26.4991 [INFO] uart5: [output] {'bytes in-use': 8192, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 159040, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
15:14:26.5019 [INFO] uart5: [virt:  7.64s (+1.6ms)] {'bytes in-use': 8192, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 159040, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
15:14:26.5125 [INFO] uart5: [output] {'bytes in-use': 12288, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2711296, 'bytes requested': 163136, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
15:14:26.5126 [INFO] uart5: [virt:  7.65s (+1.5ms)] {'bytes in-use': 12288, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2711296, 'bytes requested': 163136, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
15:14:26.5246 [INFO] uart5: [output] {'bytes in-use': 16384, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 167232, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
15:14:26.5246 [INFO] uart5: [virt:  7.65s (+1.5ms)] {'bytes in-use': 16384, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 167232, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
15:14:26.5386 [INFO] uart5: [output] {'bytes in-use': 20480, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2703104, 'bytes requested': 171328, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
15:14:26.5387 [INFO] uart5: [virt:  7.65s (+1.5ms)] {'bytes in-use': 20480, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2703104, 'bytes requested': 171328, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
15:14:26.5500 [INFO] uart5: [output] {'bytes in-use': 24576, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2699008, 'bytes requested': 175424, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
15:14:26.5502 [INFO] uart5: [virt:  7.65s (+1.6ms)] {'bytes in-use': 24576, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2699008, 'bytes requested': 175424, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
15:14:26.5618 [INFO] uart5: [output] {'bytes in-use': 28672, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694912, 'bytes requested': 179520, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
15:14:26.5619 [INFO] uart5: [virt:  7.65s (+1.5ms)] {'bytes in-use': 28672, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694912, 'bytes requested': 179520, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
15:14:26.5730 [INFO] uart5: [output] {'bytes in-use': 32768, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690816, 'bytes requested': 183616, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
15:14:26.5732 [INFO] uart5: [virt:  7.65s (+1.6ms)] {'bytes in-use': 32768, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690816, 'bytes requested': 183616, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
15:14:26.5889 [INFO] uart5: [output] {'bytes in-use': 33280, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690304, 'bytes requested': 184128, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
15:14:26.5890 [INFO] uart5: [virt:  7.65s (+1.5ms)] {'bytes in-use': 33280, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690304, 'bytes requested': 184128, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
15:14:26.6063 [INFO] uart5: [output] {'bytes in-use': 33792, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2689792, 'bytes requested': 184640, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 10}
15:14:26.6064 [INFO] uart5: [virt:  7.66s (+1.5ms)] {'bytes in-use': 33792, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2689792, 'bytes requested': 184640, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 10}
15:14:26.6157 [INFO] uart5: [output] {'bytes in-use': 34048, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2689536, 'bytes requested': 184896, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 11}
15:14:26.6158 [INFO] uart5: [virt:  7.66s (+1.6ms)] {'bytes in-use': 34048, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2689536, 'bytes requested': 184896, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 11}
15:14:26.6351 [INFO] uart5: [output] {'bytes in-use': 38144, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685440, 'bytes requested': 188992, 'lhs fragmentation': 0, 'in-between fragmentation': 2816, 'objs in-use': 12}
15:14:26.6352 [INFO] uart5: [virt:  7.66s (+1.5ms)] {'bytes in-use': 38144, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685440, 'bytes requested': 188992, 'lhs fragmentation': 0, 'in-between fragmentation': 2816, 'objs in-use': 12}
