01:28:09.9766 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 1 2 1 2 3 0 3 best_fit
01:28:09.9767 [INFO] uart5: [virt: 3.79s (+13.3ms)] CANTRIP> [sreplay_seq_app  0 1 2 1 2 3 0 3 best_fit
01:28:10.3184 [INFO] uart5: [output] {'bytes in-use': 184640, 'bytes free': 2538944, 'bytes requested': 184640, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 54}
01:28:10.3185 [INFO] uart5: [virt:  3.85s (+1.3ms)] {'bytes in-use': 184640, 'bytes free': 2538944, 'bytes requested': 184640, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 54}
01:28:10.3277 [INFO] uart5: [output] {'bytes in-use': 184896, 'bytes free': 2538688, 'bytes requested': 184896, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 55}
01:28:10.3278 [INFO] uart5: [virt:  3.85s (+1.3ms)] {'bytes in-use': 184896, 'bytes free': 2538688, 'bytes requested': 184896, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 55}
01:28:10.3400 [INFO] uart5: [output] {'bytes in-use': 188992, 'bytes free': 2534592, 'bytes requested': 188992, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 56}
01:28:10.3401 [INFO] uart5: [virt:  3.85s (+1.2ms)] {'bytes in-use': 188992, 'bytes free': 2534592, 'bytes requested': 188992, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 56}
01:28:10.3464 [INFO] uart5: [output] {'bytes in-use': 193088, 'bytes free': 2530496, 'bytes requested': 193088, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 57}
01:28:10.3464 [INFO] uart5: [virt:  3.85s (+1.3ms)] {'bytes in-use': 193088, 'bytes free': 2530496, 'bytes requested': 193088, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 57}
01:28:10.3558 [INFO] uart5: [output] {'bytes in-use': 209472, 'bytes free': 2514112, 'bytes requested': 209472, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 61}
01:28:10.3559 [INFO] uart5: [virt:  3.85s (+1.3ms)] {'bytes in-use': 209472, 'bytes free': 2514112, 'bytes requested': 209472, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 61}
01:28:10.3657 [INFO] uart5: [output] {'bytes in-use': 254528, 'bytes free': 2469056, 'bytes requested': 254528, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 72}
01:28:10.3658 [INFO] uart5: [virt:  3.85s (+1.9ms)] {'bytes in-use': 254528, 'bytes free': 2469056, 'bytes requested': 254528, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 72}
01:28:10.3754 [INFO] uart5: [output] {'bytes in-use': 258624, 'bytes free': 2464960, 'bytes requested': 258624, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 73}
01:28:10.3755 [INFO] uart5: [virt:  3.85s (+1.2ms)] {'bytes in-use': 258624, 'bytes free': 2464960, 'bytes requested': 258624, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 73}
01:28:10.3848 [INFO] uart5: [output] {'bytes in-use': 262720, 'bytes free': 2460864, 'bytes requested': 262720, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 74}
01:28:10.3849 [INFO] uart5: [virt:  3.86s (+1.3ms)] {'bytes in-use': 262720, 'bytes free': 2460864, 'bytes requested': 262720, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 74}
01:28:10.3954 [INFO] uart5: [output] {'bytes in-use': 263744, 'bytes free': 2459840, 'bytes requested': 263744, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 75}
01:28:10.3954 [INFO] uart5: [virt:  3.86s (+1.3ms)] {'bytes in-use': 263744, 'bytes free': 2459840, 'bytes requested': 263744, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 75}
01:28:10.4019 [INFO] uart5: [output] {'bytes in-use': 267840, 'bytes free': 2455744, 'bytes requested': 267840, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 76}
01:28:10.4020 [INFO] uart5: [virt:  3.86s (+1.3ms)] {'bytes in-use': 267840, 'bytes free': 2455744, 'bytes requested': 267840, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 76}
01:28:10.4163 [INFO] uart5: [output] {'bytes in-use': 271936, 'bytes free': 2451648, 'bytes requested': 271936, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 77}
01:28:10.4164 [INFO] uart5: [virt:  3.86s (+1.2ms)] {'bytes in-use': 271936, 'bytes free': 2451648, 'bytes requested': 271936, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 77}
01:28:10.4288 [INFO] uart5: [output] {'bytes in-use': 276032, 'bytes free': 2447552, 'bytes requested': 276032, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 78}
01:28:10.4290 [INFO] uart5: [virt:  3.86s (+1.3ms)] {'bytes in-use': 276032, 'bytes free': 2447552, 'bytes requested': 276032, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 78}
01:28:10.4441 [INFO] uart5: [output] {'bytes in-use': 280128, 'bytes free': 2443456, 'bytes requested': 280128, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 79}
