01:27:58.4945 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 best_fit
01:27:58.4946 [INFO] uart5: [virt:   2.69s (+13ms)] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 best_fit
01:27:59.0347 [INFO] uart5: [output] {'bytes in-use': 137472, 'bytes free': 2586112, 'bytes requested': 288320, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 37}
01:27:59.0348 [INFO] uart5: [virt:  2.79s (+1.6ms)] {'bytes in-use': 137472, 'bytes free': 2586112, 'bytes requested': 288320, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 37}
01:27:59.0472 [INFO] uart5: [output] {'bytes in-use': 141568, 'bytes free': 2582016, 'bytes requested': 292416, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 38}
01:27:59.0473 [INFO] uart5: [virt:  2.79s (+1.2ms)] {'bytes in-use': 141568, 'bytes free': 2582016, 'bytes requested': 292416, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 38}
01:27:59.0607 [INFO] uart5: [output] {'bytes in-use': 145664, 'bytes free': 2577920, 'bytes requested': 296512, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 39}
01:27:59.0609 [INFO] uart5: [virt:   2.8s (+1.3ms)] {'bytes in-use': 145664, 'bytes free': 2577920, 'bytes requested': 296512, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 39}
01:27:59.0730 [INFO] uart5: [output] {'bytes in-use': 149760, 'bytes free': 2573824, 'bytes requested': 300608, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 40}
01:27:59.0732 [INFO] uart5: [virt:   2.8s (+1.2ms)] {'bytes in-use': 149760, 'bytes free': 2573824, 'bytes requested': 300608, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 40}
01:27:59.0865 [INFO] uart5: [output] {'bytes in-use': 153856, 'bytes free': 2569728, 'bytes requested': 304704, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 41}
01:27:59.0866 [INFO] uart5: [virt:   2.8s (+1.3ms)] {'bytes in-use': 153856, 'bytes free': 2569728, 'bytes requested': 304704, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 41}
01:27:59.0982 [INFO] uart5: [output] {'bytes in-use': 157952, 'bytes free': 2565632, 'bytes requested': 308800, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 42}
01:27:59.0983 [INFO] uart5: [virt:   2.8s (+1.2ms)] {'bytes in-use': 157952, 'bytes free': 2565632, 'bytes requested': 308800, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 42}
01:27:59.1080 [INFO] uart5: [output] {'bytes in-use': 162048, 'bytes free': 2561536, 'bytes requested': 312896, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 43}
01:27:59.1081 [INFO] uart5: [virt:   2.8s (+1.3ms)] {'bytes in-use': 162048, 'bytes free': 2561536, 'bytes requested': 312896, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 43}
01:27:59.1215 [INFO] uart5: [output] {'bytes in-use': 166144, 'bytes free': 2557440, 'bytes requested': 316992, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 44}
01:27:59.1216 [INFO] uart5: [virt:   2.8s (+1.2ms)] {'bytes in-use': 166144, 'bytes free': 2557440, 'bytes requested': 316992, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 44}
01:27:59.1356 [INFO] uart5: [output] {'bytes in-use': 170240, 'bytes free': 2553344, 'bytes requested': 321088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 45}
01:27:59.1357 [INFO] uart5: [virt:   2.8s (+1.8ms)] {'bytes in-use': 170240, 'bytes free': 2553344, 'bytes requested': 321088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 45}
01:27:59.1480 [INFO] uart5: [output] {'bytes in-use': 174336, 'bytes free': 2549248, 'bytes requested': 325184, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 46}
01:27:59.1481 [INFO] uart5: [virt:  2.81s (+1.3ms)] {'bytes in-use': 174336, 'bytes free': 2549248, 'bytes requested': 325184, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 46}
01:27:59.1587 [INFO] uart5: [output] {'bytes in-use': 178432, 'bytes free': 2545152, 'bytes requested': 329280, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 47}
