00:05:51.5569 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 false best_fit
00:05:51.5570 [INFO] uart5: [virt: 7.71s (+14.8ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 false best_fit
00:05:51.5578 [INFO] uart5: [output] Begin synthetic workload!
00:05:52.0297 [INFO] uart5: [virt:  7.77s (+1.2ms)] {'bytes in-use': 1024, 'bytes free': 2722560, 'bytes requested': 70416, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:52.0399 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 70416, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:52.0400 [INFO] uart5: [virt:  7.78s (+1.3ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 70416, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:52.0558 [INFO] uart5: [output] {'bytes in-use': 32768, 'bytes free': 2690816, 'bytes requested': 103184, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
00:05:52.0559 [INFO] uart5: [virt:  7.78s (+1.5ms)] {'bytes in-use': 32768, 'bytes free': 2690816, 'bytes requested': 103184, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
00:05:52.0686 [INFO] uart5: [output] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 103696, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
00:05:52.0686 [INFO] uart5: [virt:  7.78s (+1.2ms)] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 103696, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
00:05:52.0790 [INFO] uart5: [output] {'bytes in-use': 33312, 'bytes free': 2690272, 'bytes requested': 103728, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 10}
00:05:52.0791 [INFO] uart5: [virt:  7.78s (+1.3ms)] {'bytes in-use': 33312, 'bytes free': 2690272, 'bytes requested': 103728, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 10}
00:05:52.0894 [INFO] uart5: [output] {'bytes in-use': 33328, 'bytes free': 2690256, 'bytes requested': 103744, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 11}
00:05:52.0895 [INFO] uart5: [virt:  7.78s (+1.2ms)] {'bytes in-use': 33328, 'bytes free': 2690256, 'bytes requested': 103744, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 11}
00:05:52.0957 [INFO] uart5: [output] {'bytes in-use': 37424, 'bytes free': 2686160, 'bytes requested': 107840, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 12}
00:05:52.0958 [INFO] uart5: [virt:  7.78s (+1.3ms)] {'bytes in-use': 37424, 'bytes free': 2686160, 'bytes requested': 107840, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 12}
00:05:52.1061 [INFO] uart5: [output] {'bytes in-use': 37456, 'bytes free': 2686128, 'bytes requested': 107872, 'lhs fragmentation': 0, 'in-between fragmentation': 16, 'objs in-use': 13}
00:05:52.1063 [INFO] uart5: [virt:  7.78s (+1.3ms)] {'bytes in-use': 37456, 'bytes free': 2686128, 'bytes requested': 107872, 'lhs fragmentation': 0, 'in-between fragmentation': 16, 'objs in-use': 13}
00:05:52.1267 [INFO] uart5: [output] {'bytes in-use': 37968, 'bytes free': 2685616, 'bytes requested': 108384, 'lhs fragmentation': 0, 'in-between fragmentation': 432, 'objs in-use': 14}
00:05:52.1267 [INFO] uart5: [virt: 7.79s (+11.2ms)] {'bytes in-use': 37968, 'bytes free': 2685616, 'bytes requested': 108384, 'lhs fragmentation': 0, 'in-between fragmentation': 432, 'objs in-use': 14}
00:05:52.1350 [INFO] uart5: [output] {'bytes in-use': 37952, 'bytes free': 2685632, 'bytes requested': 108384, 'lhs fragmentation': 16, 'in-between fragmentation': 432, 'objs in-use': 13}
00:05:52.1351 [INFO] uart5: [virt:   7.8s (+1.3ms)] {'bytes in-use': 37952, 'bytes free': 2685632, 'bytes requested': 108384, 'lhs fragmentation': 16, 'in-between fragmentation': 432, 'objs in-use': 13}
00:05:52.1452 [INFO] uart5: [output] {'bytes in-use': 37968, 'bytes free': 2685616, 'bytes requested': 108400, 'lhs fragmentation': 16, 'in-between fragmentation': 432, 'objs in-use': 14}
00:05:52.1453 [INFO] uart5: [virt:   7.8s (+1.2ms)] {'bytes in-use': 37968, 'bytes free': 2685616, 'bytes requested': 108400, 'lhs fragmentation': 16, 'in-between fragmentation': 432, 'objs in-use': 14}
00:05:52.1583 [INFO] uart5: [output] {'bytes in-use': 42064, 'bytes free': 2681520, 'bytes requested': 112496, 'lhs fragmentation': 16, 'in-between fragmentation': 432, 'objs in-use': 15}
00:05:52.1584 [INFO] uart5: [virt:   7.8s (+1.3ms)] {'bytes in-use': 42064, 'bytes free': 2681520, 'bytes requested': 112496, 'lhs fragmentation': 16, 'in-between fragmentation': 432, 'objs in-use': 15}
00:05:52.1708 [INFO] uart5: [output] {'bytes in-use': 42032, 'bytes free': 2681552, 'bytes requested': 112496, 'lhs fragmentation': 48, 'in-between fragmentation': 432, 'objs in-use': 14}
00:05:52.1709 [INFO] uart5: [virt:   7.8s (+1.2ms)] {'bytes in-use': 42032, 'bytes free': 2681552, 'bytes requested': 112496, 'lhs fragmentation': 48, 'in-between fragmentation': 432, 'objs in-use': 14}
00:05:52.1822 [INFO] uart5: [output] {'bytes in-use': 37936, 'bytes free': 2685648, 'bytes requested': 112496, 'lhs fragmentation': 48, 'in-between fragmentation': 432, 'objs in-use': 13}
00:05:52.1823 [INFO] uart5: [virt:   7.8s (+1.3ms)] {'bytes in-use': 37936, 'bytes free': 2685648, 'bytes requested': 112496, 'lhs fragmentation': 48, 'in-between fragmentation': 432, 'objs in-use': 13}
00:05:52.1975 [INFO] uart5: [output] {'bytes in-use': 37952, 'bytes free': 2685632, 'bytes requested': 112512, 'lhs fragmentation': 48, 'in-between fragmentation': 432, 'objs in-use': 14}
