13:20:18.2043 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile best_fit
13:20:18.2044 [INFO] uart5: [virt: 6.48s (+17.1ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile best_fit
13:20:18.2051 [INFO] uart5: [output] Begin synthetic workload!
13:20:18.2052 [INFO] uart5: [virt:  6.48s (+0.1ms)] Begin synthetic workload!
13:20:18.7714 [INFO] uart5: [output] {'bytes in-use': 38944, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2684640, 'bytes requested': 154336, 'lhs fragmentation': 704, 'in-between fragmentation': 1856, 'objs in-use': 29}
13:20:18.7715 [INFO] uart5: [virt:  6.55s (+1.6ms)] {'bytes in-use': 38944, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2684640, 'bytes requested': 154336, 'lhs fragmentation': 704, 'in-between fragmentation': 1856, 'objs in-use': 29}
13:20:18.7846 [INFO] uart5: [output] {'bytes in-use': 38960, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2684624, 'bytes requested': 154352, 'lhs fragmentation': 704, 'in-between fragmentation': 1856, 'objs in-use': 30}
13:20:18.7848 [INFO] uart5: [virt:  6.55s (+1.6ms)] {'bytes in-use': 38960, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2684624, 'bytes requested': 154352, 'lhs fragmentation': 704, 'in-between fragmentation': 1856, 'objs in-use': 30}
13:20:18.8025 [INFO] uart5: [output] {'bytes in-use': 43056, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2680528, 'bytes requested': 158448, 'lhs fragmentation': 704, 'in-between fragmentation': 1856, 'objs in-use': 31}
13:20:18.8026 [INFO] uart5: [virt:  6.56s (+1.6ms)] {'bytes in-use': 43056, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2680528, 'bytes requested': 158448, 'lhs fragmentation': 704, 'in-between fragmentation': 1856, 'objs in-use': 31}
13:20:18.8158 [INFO] uart5: [output] {'bytes in-use': 43088, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2680496, 'bytes requested': 158480, 'lhs fragmentation': 704, 'in-between fragmentation': 1872, 'objs in-use': 32}
13:20:18.8159 [INFO] uart5: [virt:  6.56s (+1.6ms)] {'bytes in-use': 43088, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2680496, 'bytes requested': 158480, 'lhs fragmentation': 704, 'in-between fragmentation': 1872, 'objs in-use': 32}
13:20:18.8315 [INFO] uart5: [output] {'bytes in-use': 43600, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2679984, 'bytes requested': 158992, 'lhs fragmentation': 704, 'in-between fragmentation': 2288, 'objs in-use': 33}
13:20:18.8316 [INFO] uart5: [virt:  6.56s (+1.6ms)] {'bytes in-use': 43600, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2679984, 'bytes requested': 158992, 'lhs fragmentation': 704, 'in-between fragmentation': 2288, 'objs in-use': 33}
