13:34:45.2297 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile next_fit
13:34:45.2298 [INFO] uart5: [virt: 20.17s (+17.2ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile next_fit
13:34:45.2308 [INFO] uart5: [output] Begin synthetic workload!
13:34:45.5337 [INFO] uart5: [virt:  20.22s (+1.5ms)] {'bytes in-use': 68432, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655152, 'bytes requested': 97104, 'lhs fragmentation': 12288, 'in-between fragmentation': 14608, 'objs in-use': 30}
13:34:45.5486 [INFO] uart5: [output] {'bytes in-use': 68448, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655136, 'bytes requested': 97120, 'lhs fragmentation': 12288, 'in-between fragmentation': 14608, 'objs in-use': 31}
13:34:45.5487 [INFO] uart5: [virt:  20.22s (+1.5ms)] {'bytes in-use': 68448, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655136, 'bytes requested': 97120, 'lhs fragmentation': 12288, 'in-between fragmentation': 14608, 'objs in-use': 31}
13:34:45.5610 [INFO] uart5: [output] {'bytes in-use': 68464, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655120, 'bytes requested': 97136, 'lhs fragmentation': 12288, 'in-between fragmentation': 14608, 'objs in-use': 32}
13:34:45.5611 [INFO] uart5: [virt:  20.22s (+1.6ms)] {'bytes in-use': 68464, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655120, 'bytes requested': 97136, 'lhs fragmentation': 12288, 'in-between fragmentation': 14608, 'objs in-use': 32}
13:34:45.5719 [INFO] uart5: [output] {'bytes in-use': 68976, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2654608, 'bytes requested': 97648, 'lhs fragmentation': 12288, 'in-between fragmentation': 14992, 'objs in-use': 33}
13:34:45.5720 [INFO] uart5: [virt:  20.22s (+1.5ms)] {'bytes in-use': 68976, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2654608, 'bytes requested': 97648, 'lhs fragmentation': 12288, 'in-between fragmentation': 14992, 'objs in-use': 33}
13:34:45.5855 [INFO] uart5: [output] {'bytes in-use': 68960, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2654624, 'bytes requested': 97648, 'lhs fragmentation': 12304, 'in-between fragmentation': 14992, 'objs in-use': 32}
13:34:45.5856 [INFO] uart5: [virt:  20.22s (+1.6ms)] {'bytes in-use': 68960, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2654624, 'bytes requested': 97648, 'lhs fragmentation': 12304, 'in-between fragmentation': 14992, 'objs in-use': 32}
13:34:45.5988 [INFO] uart5: [output] {'bytes in-use': 71008, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652576, 'bytes requested': 99696, 'lhs fragmentation': 12304, 'in-between fragmentation': 14992, 'objs in-use': 33}
13:34:45.5989 [INFO] uart5: [virt:  20.22s (+1.5ms)] {'bytes in-use': 71008, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652576, 'bytes requested': 99696, 'lhs fragmentation': 12304, 'in-between fragmentation': 14992, 'objs in-use': 33}
13:34:45.6148 [INFO] uart5: [output] {'bytes in-use': 70992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652592, 'bytes requested': 99696, 'lhs fragmentation': 12320, 'in-between fragmentation': 14992, 'objs in-use': 32}
13:34:45.6149 [INFO] uart5: [virt:  20.23s (+1.5ms)] {'bytes in-use': 70992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652592, 'bytes requested': 99696, 'lhs fragmentation': 12320, 'in-between fragmentation': 14992, 'objs in-use': 32}
