13:50:28.0329 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 48 profile next_fit
13:50:28.0330 [INFO] uart5: [virt:   26.72s (+20ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 48 profile next_fit
13:50:28.0336 [INFO] uart5: [output] Begin synthetic workload!
13:50:28.4774 [INFO] uart5: [virt:  26.78s (+1.6ms)] {'bytes in-use': 24960, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2698624, 'bytes requested': 110656, 'lhs fragmentation': 48320, 'in-between fragmentation': 4592, 'objs in-use': 12}
13:50:28.4929 [INFO] uart5: [output] {'bytes in-use': 24976, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2698608, 'bytes requested': 110672, 'lhs fragmentation': 48320, 'in-between fragmentation': 4592, 'objs in-use': 13}
13:50:28.4931 [INFO] uart5: [virt:  26.78s (+1.5ms)] {'bytes in-use': 24976, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2698608, 'bytes requested': 110672, 'lhs fragmentation': 48320, 'in-between fragmentation': 4592, 'objs in-use': 13}
13:50:28.5089 [INFO] uart5: [output] {'bytes in-use': 29072, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694512, 'bytes requested': 114768, 'lhs fragmentation': 48320, 'in-between fragmentation': 8624, 'objs in-use': 14}
13:50:28.5090 [INFO] uart5: [virt:  26.79s (+1.6ms)] {'bytes in-use': 29072, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694512, 'bytes requested': 114768, 'lhs fragmentation': 48320, 'in-between fragmentation': 8624, 'objs in-use': 14}
13:50:28.5247 [INFO] uart5: [output] {'bytes in-use': 29040, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694544, 'bytes requested': 114768, 'lhs fragmentation': 48352, 'in-between fragmentation': 8624, 'objs in-use': 13}
13:50:28.5249 [INFO] uart5: [virt:  26.79s (+1.5ms)] {'bytes in-use': 29040, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694544, 'bytes requested': 114768, 'lhs fragmentation': 48352, 'in-between fragmentation': 8624, 'objs in-use': 13}
13:50:28.5409 [INFO] uart5: [output] {'bytes in-use': 29296, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694288, 'bytes requested': 115024, 'lhs fragmentation': 48352, 'in-between fragmentation': 8624, 'objs in-use': 14}
13:50:28.5411 [INFO] uart5: [virt:  26.79s (+1.6ms)] {'bytes in-use': 29296, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694288, 'bytes requested': 115024, 'lhs fragmentation': 48352, 'in-between fragmentation': 8624, 'objs in-use': 14}
13:50:28.5586 [INFO] uart5: [output] {'bytes in-use': 29360, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694224, 'bytes requested': 115088, 'lhs fragmentation': 48352, 'in-between fragmentation': 8624, 'objs in-use': 15}
13:50:28.5587 [INFO] uart5: [virt:  26.79s (+1.5ms)] {'bytes in-use': 29360, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694224, 'bytes requested': 115088, 'lhs fragmentation': 48352, 'in-between fragmentation': 8624, 'objs in-use': 15}
13:50:28.5727 [INFO] uart5: [output] {'bytes in-use': 33456, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690128, 'bytes requested': 119184, 'lhs fragmentation': 48352, 'in-between fragmentation': 12400, 'objs in-use': 16}
13:50:28.5728 [INFO] uart5: [virt:  26.79s (+1.5ms)] {'bytes in-use': 33456, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690128, 'bytes requested': 119184, 'lhs fragmentation': 48352, 'in-between fragmentation': 12400, 'objs in-use': 16}
13:50:28.5904 [INFO] uart5: [output] {'bytes in-use': 41648, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681936, 'bytes requested': 127376, 'lhs fragmentation': 48352, 'in-between fragmentation': 12400, 'objs in-use': 18}
13:50:28.5905 [INFO] uart5: [virt:  26.79s (+1.6ms)] {'bytes in-use': 41648, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681936, 'bytes requested': 127376, 'lhs fragmentation': 48352, 'in-between fragmentation': 12400, 'objs in-use': 18}
13:50:28.6120 [INFO] uart5: [output] {'bytes in-use': 41664, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681920, 'bytes requested': 127392, 'lhs fragmentation': 48352, 'in-between fragmentation': 12400, 'objs in-use': 19}
13:50:28.6121 [INFO] uart5: [virt:   26.8s (+1.5ms)] {'bytes in-use': 41664, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681920, 'bytes requested': 127392, 'lhs fragmentation': 48352, 'in-between fragmentation': 12400, 'objs in-use': 19}
13:50:28.6282 [INFO] uart5: [output] {'bytes in-use': 45760, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677824, 'bytes requested': 131488, 'lhs fragmentation': 48352, 'in-between fragmentation': 16480, 'objs in-use': 20}
13:50:28.6283 [INFO] uart5: [virt:   26.8s (+1.6ms)] {'bytes in-use': 45760, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677824, 'bytes requested': 131488, 'lhs fragmentation': 48352, 'in-between fragmentation': 16480, 'objs in-use': 20}
13:50:28.6436 [INFO] uart5: [output] {'bytes in-use': 45792, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677792, 'bytes requested': 131520, 'lhs fragmentation': 48352, 'in-between fragmentation': 16480, 'objs in-use': 21}
