10:59:00.9065 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9065 [INFO] uart5: [virt:    17.3s (+16ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9076 [INFO] uart5: [output] Begin synthetic workload!
10:59:00.9077 [INFO] uart5: [virt:   17.3s (+0.1ms)] Begin synthetic workload!
10:59:01.1621 [INFO] uart5: [virt:  17.36s (+1.2ms)] {'bytes in-use': 41456, 'bytes free': 2682128, 'bytes requested': 132208, 'lhs fragmentation': 74368, 'in-between fragmentation': 11184, 'objs in-use': 24}
10:59:01.1735 [INFO] uart5: [output] {'bytes in-use': 33264, 'bytes free': 2690320, 'bytes requested': 132208, 'lhs fragmentation': 82560, 'in-between fragmentation': 11184, 'objs in-use': 23}
10:59:01.1736 [INFO] uart5: [virt:  17.36s (+2.8ms)] {'bytes in-use': 33264, 'bytes free': 2690320, 'bytes requested': 132208, 'lhs fragmentation': 82560, 'in-between fragmentation': 11184, 'objs in-use': 23}
10:59:01.1814 [INFO] uart5: [output] {'bytes in-use': 49648, 'bytes free': 2673936, 'bytes requested': 148592, 'lhs fragmentation': 82560, 'in-between fragmentation': 15248, 'objs in-use': 24}
10:59:01.1815 [INFO] uart5: [virt:  17.36s (+1.2ms)] {'bytes in-use': 49648, 'bytes free': 2673936, 'bytes requested': 148592, 'lhs fragmentation': 82560, 'in-between fragmentation': 15248, 'objs in-use': 24}
10:59:01.2048 [INFO] uart5: [output] {'bytes in-use': 49616, 'bytes free': 2673968, 'bytes requested': 148592, 'lhs fragmentation': 82592, 'in-between fragmentation': 15248, 'objs in-use': 23}
10:59:01.2050 [INFO] uart5: [virt: 17.37s (+11.3ms)] {'bytes in-use': 49616, 'bytes free': 2673968, 'bytes requested': 148592, 'lhs fragmentation': 82592, 'in-between fragmentation': 15248, 'objs in-use': 23}
10:59:01.2192 [INFO] uart5: [output] {'bytes in-use': 33232, 'bytes free': 2690352, 'bytes requested': 148592, 'lhs fragmentation': 98976, 'in-between fragmentation': 15248, 'objs in-use': 22}
10:59:01.2194 [INFO] uart5: [virt:  17.38s (+4.4ms)] {'bytes in-use': 33232, 'bytes free': 2690352, 'bytes requested': 148592, 'lhs fragmentation': 98976, 'in-between fragmentation': 15248, 'objs in-use': 22}
10:59:01.2321 [INFO] uart5: [output] {'bytes in-use': 33264, 'bytes free': 2690320, 'bytes requested': 148624, 'lhs fragmentation': 98976, 'in-between fragmentation': 15248, 'objs in-use': 23}
