11:02:15.8183 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 profile next_fit
11:02:15.8184 [INFO] uart5: [virt:  19.77s (+9.7ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 profile next_fit
11:02:15.8195 [INFO] uart5: [output] Begin synthetic workload!
11:02:16.1630 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69392, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.1631 [INFO] uart5: [virt:  19.83s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69392, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.1693 [INFO] uart5: [output] {'bytes in-use': 1024, 'bytes free': 2722560, 'bytes requested': 70416, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:16.1693 [INFO] uart5: [virt:  19.83s (+1.3ms)] {'bytes in-use': 1024, 'bytes free': 2722560, 'bytes requested': 70416, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:16.1776 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 70416, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.1776 [INFO] uart5: [virt:  19.83s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 70416, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.1871 [INFO] uart5: [output] {'bytes in-use': 32768, 'bytes free': 2690816, 'bytes requested': 103184, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
11:02:16.1871 [INFO] uart5: [virt:  19.83s (+1.3ms)] {'bytes in-use': 32768, 'bytes free': 2690816, 'bytes requested': 103184, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
11:02:16.1931 [INFO] uart5: [output] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 103696, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
11:02:16.1931 [INFO] uart5: [virt:  19.83s (+1.2ms)] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 103696, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
11:02:16.2019 [INFO] uart5: [output] {'bytes in-use': 33312, 'bytes free': 2690272, 'bytes requested': 103728, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 10}
11:02:16.2020 [INFO] uart5: [virt:  19.83s (+1.2ms)] {'bytes in-use': 33312, 'bytes free': 2690272, 'bytes requested': 103728, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 10}
11:02:16.2172 [INFO] uart5: [output] {'bytes in-use': 33328, 'bytes free': 2690256, 'bytes requested': 103744, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 11}
11:02:16.2173 [INFO] uart5: [virt:  19.83s (+1.3ms)] {'bytes in-use': 33328, 'bytes free': 2690256, 'bytes requested': 103744, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 11}
11:02:16.2235 [INFO] uart5: [output] {'bytes in-use': 37424, 'bytes free': 2686160, 'bytes requested': 107840, 'lhs fragmentation': 0, 'in-between fragmentation': 3536, 'objs in-use': 12}
11:02:16.2236 [INFO] uart5: [virt:  19.84s (+1.2ms)] {'bytes in-use': 37424, 'bytes free': 2686160, 'bytes requested': 107840, 'lhs fragmentation': 0, 'in-between fragmentation': 3536, 'objs in-use': 12}
11:02:16.2326 [INFO] uart5: [output] {'bytes in-use': 37456, 'bytes free': 2686128, 'bytes requested': 107872, 'lhs fragmentation': 0, 'in-between fragmentation': 3536, 'objs in-use': 13}
11:02:16.2327 [INFO] uart5: [virt:  19.84s (+1.2ms)] {'bytes in-use': 37456, 'bytes free': 2686128, 'bytes requested': 107872, 'lhs fragmentation': 0, 'in-between fragmentation': 3536, 'objs in-use': 13}
11:02:16.2435 [INFO] uart5: [output] {'bytes in-use': 37968, 'bytes free': 2685616, 'bytes requested': 108384, 'lhs fragmentation': 0, 'in-between fragmentation': 4016, 'objs in-use': 14}
11:02:16.2436 [INFO] uart5: [virt:  19.84s (+1.3ms)] {'bytes in-use': 37968, 'bytes free': 2685616, 'bytes requested': 108384, 'lhs fragmentation': 0, 'in-between fragmentation': 4016, 'objs in-use': 14}
11:02:16.2567 [INFO] uart5: [output] {'bytes in-use': 37952, 'bytes free': 2685632, 'bytes requested': 108384, 'lhs fragmentation': 16, 'in-between fragmentation': 4016, 'objs in-use': 13}
11:02:16.2568 [INFO] uart5: [virt:  19.84s (+1.2ms)] {'bytes in-use': 37952, 'bytes free': 2685632, 'bytes requested': 108384, 'lhs fragmentation': 16, 'in-between fragmentation': 4016, 'objs in-use': 13}
11:02:16.2725 [INFO] uart5: [output] {'bytes in-use': 37968, 'bytes free': 2685616, 'bytes requested': 108400, 'lhs fragmentation': 16, 'in-between fragmentation': 4016, 'objs in-use': 14}
11:02:16.2727 [INFO] uart5: [virt:  19.84s (+1.2ms)] {'bytes in-use': 37968, 'bytes free': 2685616, 'bytes requested': 108400, 'lhs fragmentation': 16, 'in-between fragmentation': 4016, 'objs in-use': 14}
11:02:16.2977 [INFO] uart5: [output] {'bytes in-use': 42064, 'bytes free': 2681520, 'bytes requested': 112496, 'lhs fragmentation': 16, 'in-between fragmentation': 7072, 'objs in-use': 15}
11:02:16.2978 [INFO] uart5: [virt: 19.85s (+11.3ms)] {'bytes in-use': 42064, 'bytes free': 2681520, 'bytes requested': 112496, 'lhs fragmentation': 16, 'in-between fragmentation': 7072, 'objs in-use': 15}
11:02:16.3111 [INFO] uart5: [output] {'bytes in-use': 42032, 'bytes free': 2681552, 'bytes requested': 112496, 'lhs fragmentation': 48, 'in-between fragmentation': 7072, 'objs in-use': 14}
11:02:16.3112 [INFO] uart5: [virt:  19.85s (+1.2ms)] {'bytes in-use': 42032, 'bytes free': 2681552, 'bytes requested': 112496, 'lhs fragmentation': 48, 'in-between fragmentation': 7072, 'objs in-use': 14}
11:02:16.3247 [INFO] uart5: [output] {'bytes in-use': 37936, 'bytes free': 2685648, 'bytes requested': 112496, 'lhs fragmentation': 4144, 'in-between fragmentation': 7072, 'objs in-use': 13}
11:02:16.3248 [INFO] uart5: [virt:  19.85s (+1.2ms)] {'bytes in-use': 37936, 'bytes free': 2685648, 'bytes requested': 112496, 'lhs fragmentation': 4144, 'in-between fragmentation': 7072, 'objs in-use': 13}
11:02:16.3375 [INFO] uart5: [output] {'bytes in-use': 37952, 'bytes free': 2685632, 'bytes requested': 112512, 'lhs fragmentation': 4144, 'in-between fragmentation': 7072, 'objs in-use': 14}
11:02:16.3376 [INFO] uart5: [virt:  19.86s (+1.3ms)] {'bytes in-use': 37952, 'bytes free': 2685632, 'bytes requested': 112512, 'lhs fragmentation': 4144, 'in-between fragmentation': 7072, 'objs in-use': 14}
11:02:16.3509 [INFO] uart5: [output] {'bytes in-use': 37936, 'bytes free': 2685648, 'bytes requested': 112512, 'lhs fragmentation': 4160, 'in-between fragmentation': 7072, 'objs in-use': 13}
11:02:16.3511 [INFO] uart5: [virt:  19.86s (+1.2ms)] {'bytes in-use': 37936, 'bytes free': 2685648, 'bytes requested': 112512, 'lhs fragmentation': 4160, 'in-between fragmentation': 7072, 'objs in-use': 13}
11:02:16.3680 [INFO] uart5: [output] {'bytes in-use': 37904, 'bytes free': 2685680, 'bytes requested': 112512, 'lhs fragmentation': 4192, 'in-between fragmentation': 7072, 'objs in-use': 12}
11:02:16.3681 [INFO] uart5: [virt:  19.86s (+1.2ms)] {'bytes in-use': 37904, 'bytes free': 2685680, 'bytes requested': 112512, 'lhs fragmentation': 4192, 'in-between fragmentation': 7072, 'objs in-use': 12}
11:02:16.3812 [INFO] uart5: [output] {'bytes in-use': 33808, 'bytes free': 2689776, 'bytes requested': 112512, 'lhs fragmentation': 8288, 'in-between fragmentation': 7072, 'objs in-use': 11}
11:02:16.3814 [INFO] uart5: [virt:  19.86s (+1.3ms)] {'bytes in-use': 33808, 'bytes free': 2689776, 'bytes requested': 112512, 'lhs fragmentation': 8288, 'in-between fragmentation': 7072, 'objs in-use': 11}
11:02:16.3937 [INFO] uart5: [output] {'bytes in-use': 33296, 'bytes free': 2690288, 'bytes requested': 112512, 'lhs fragmentation': 8800, 'in-between fragmentation': 7072, 'objs in-use': 10}
11:02:16.3938 [INFO] uart5: [virt:  19.86s (+1.2ms)] {'bytes in-use': 33296, 'bytes free': 2690288, 'bytes requested': 112512, 'lhs fragmentation': 8800, 'in-between fragmentation': 7072, 'objs in-use': 10}
11:02:16.4066 [INFO] uart5: [output] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 112512, 'lhs fragmentation': 8816, 'in-between fragmentation': 7072, 'objs in-use': 9}
